m,T_1,T_2,T_p
10,0.3440,0.3294,15.25
10,0.4314,0.4108,22.51
10,0.7575,0.7309,15.14
10,0.2078,0.2002,18.22
10,0.2079,0.2010,17.81
10,0.2238,0.2156,22.14
10,1.1112,1.0693,20.13
10,0.2703,0.2584,20.17
10,5.2797,5.0620,23.67
10,0.4879,0.4707,18.75
20,0.2345,0.2255,20.18
20,0.1420,0.1333,22.64
20,0.1225,0.1180,21.15
20,0.1526,0.1452,20.24
20,0.4942,0.4736,13.48
20,0.1020,0.0994,20.57
20,0.1710,0.1629,21.17
20,0.1822,0.1765,19.88
20,0.2569,0.2471,20.40
20,0.0930,0.0892,20.20
30,0.1311,0.1258,16.98
30,0.2055,0.1994,16.10
30,0.0607,0.0589,16.54
30,0.0696,0.0669,16.77
30,0.1980,0.1904,17.01
30,0.1558,0.1496,16.81
30,0.1824,0.1726,15.61
30,0.1908,0.1830,17.13
30,1.9183,1.8236,16.74
30,0.1219,0.1181,16.73
40,0.1250,0.1210,11.31
40,0.1952,0.1903,10.79
40,0.1112,0.1066,10.71
40,0.0971,0.0930,10.88
40,0.0820,0.0776,11.97
40,0.0839,0.0796,11.25
40,0.1331,0.1270,10.29
40,0.1821,0.1736,10.93
40,0.1250,0.1203,11.32
40,0.0629,0.0597,10.96
60,0.0835,0.0805,10.13
60,0.0825,0.0803,10.45
60,0.0686,0.0664,9.87
60,0.1116,0.1077,10.21
60,0.0726,0.0697,10.03
60,0.1204,0.1159,10.19
60,0.0727,0.0699,11.17
60,0.2149,0.2065,10.41
60,0.1518,0.1471,9.76
60,0.0879,0.0840,10.74
70,0.0890,0.0846,8.53
70,0.0857,0.0823,8.85
70,0.1420,0.1361,8.66
70,0.0948,0.0918,8.53
70,0.1178,0.1131,8.65
70,0.0976,0.0937,8.96
70,0.1049,0.1000,8.59
70,0.1093,0.1062,8.46
70,0.1359,0.1293,9.32
70,0.1126,0.1073,8.22
80,0.2177,0.2155,7.80
80,0.1288,0.1235,6.40
80,0.1482,0.1400,7.57
80,0.0607,0.0583,7.17
80,0.0861,0.0821,6.05
80,0.1603,0.1518,7.38
80,0.1154,0.1096,7.17
80,0.0820,0.0804,6.64
80,0.0554,0.0537,6.78
80,0.2301,0.2223,6.07
90,0.0866,0.0838,6.99
90,0.1155,0.1119,6.67
90,0.1044,0.1009,7.11
90,0.0785,0.0758,6.80
90,0.0926,0.0891,6.50
90,0.1393,0.1349,6.56
90,0.0935,0.0899,6.45
90,0.1113,0.1076,6.97
90,0.1309,0.1268,6.58
90,0.1284,0.1221,7.60
100,0.0689,0.0648,5.96
100,0.0731,0.0699,6.81
100,0.1179,0.1118,5.86
100,0.1329,0.1286,6.36
100,0.0901,0.0857,4.99
100,0.1747,0.1667,5.27
100,0.1237,0.1198,6.42
100,0.1119,0.1073,6.06
100,0.3246,0.3142,5.80
100,0.1717,0.1648,6.11
